HDD65,log_sqft,building_age,envelope_score,hdd_sqft,age_hdd,sqft_per_hdd,hdd_squared,envelope_class_encoded,climate_zone_encoded,TYPEHUQ,ADQINSUL,DRAFTY
5012,8.048788283534199,25,13.0,15.68756,12.53,0.6245011971268954,2.5120144,0,2,2,1,3
4325,7.590852123688581,45,11.0,8.5635,19.4625,0.4578034682080925,1.8705625,0,2,2,2,3
2975,8.070906088787819,25,11.0,9.52,7.4375,1.0756302521008403,0.8850625,0,1,2,1,4
7483,7.575584651557793,65,9.0,14.59185,48.6395,0.260590672190298,5.5995289,1,0,2,1,4
6195,7.170119543449628,65,8.0,8.0535,40.2675,0.20984665052461662,3.8378025,1,0,3,3,3
5311,7.313220387090301,80,9.0,7.9665,42.488,0.28243268687629447,2.8206721,1,2,2,2,3
1135,8.21878715560148,15,13.0,4.21085,1.7025,3.2687224669603525,0.1288225,0,1,2,1,3
2543,7.600902459542082,55,5.0,5.086,13.9865,0.7864726700747149,0.6466849,2,1,2,1,1
4194,5.438079308923196,80,7.0,0.96462,33.552,0.05484024797329518,1.7589636,1,2,5,2,3
5460,5.438079308923196,80,5.0,1.2558,43.68,0.04212454212454213,2.98116,2,2,4,2,4
2205,7.989560449333865,15,11.0,6.50475,3.3075,1.3378684807256236,0.4862025,0,1,2,1,4
5827,7.8160138391590275,55,10.0,14.45096,32.0485,0.42560494250900976,3.3953929,1,2,2,2,3
2603,7.8632667240095735,35,3.0,6.7678,9.1105,0.9988474836726854,0.6775609,2,1,2,3,1
1834,7.438383530044307,35,9.0,3.1178,6.419,0.9269356597600873,0.3363556,1,1,2,2,2
4586,4.605170185988092,35,3.0,0.0,16.051,0.0,2.1031396,2,2,2,3,1
4245,5.075173815233827,80,2.0,0.6792,33.96,0.03769140164899882,1.8020025,2,2,3,4,2
5490,7.4205789054108005,7,14.0,9.1683,3.843,0.30418943533697634,3.01401,0,2,2,1,3
4531,7.177782416195197,35,7.0,5.93561,15.8585,0.2891193996910174,2.0529961,1,2,2,3,4
2007,4.605170185988092,65,8.0,0.0,13.0455,0.0,0.4028049,1,1,2,2,4
9718,4.605170185988092,80,7.0,0.0,77.744,0.0,9.4439524,1,0,2,2,2
6667,4.605170185988092,7,12.0,0.0,4.6669,0.0,4.4448889,0,0,2,1,4
4201,6.856461984594587,80,9.0,3.99095,33.608,0.2261366341347298,1.7648401,1,2,5,2,3
1902,4.605170185988092,35,9.0,0.0,6.657,0.0,0.3617604,1,1,4,3,3
8970,5.19295685089021,35,5.0,1.6146,31.395,0.020066889632107024,8.04609,2,0,2,3,2
2191,5.799092654460526,15,10.0,0.72303,3.2865,0.15061615700593337,0.4800481,1,1,2,2,4
5890,7.843848638152472,25,12.0,15.0195,14.725,0.432937181663837,3.46921,0,2,2,2,3
5949,7.455876687491824,15,11.0,10.29177,8.9235,0.2908051773407295,3.5390601,0,2,2,1,4
7258,7.5443321080536885,45,11.0,13.71762,32.661,0.2604023146872417,5.2678564,0,0,2,2,4
6604,7.313220387090301,35,11.0,9.906,23.114,0.2271350696547547,4.3612816,0,0,2,2,3
7813,7.1308988302963465,2,12.0,9.76625,1.5626,0.15998976065531806,6.1042969,0,0,5,1,4
4617,7.313220387090301,35,9.0,6.9255,16.1595,0.3248862897985705,2.1316689,1,2,2,2,4
7211,7.90100705199242,35,11.0,19.4697,25.2385,0.37442795728747746,5.1998521,0,0,2,2,3
7203,6.063785208687608,25,10.0,3.09729,18.0075,0.05969734832708594,5.1883209,1,0,1,3,3
8679,7.27931883541462,45,9.0,12.58455,39.0555,0.1670699389330568,7.5325041,1,0,2,2,2
5288,5.521460917862246,55,8.0,1.322,29.084,0.0472768532526475,2.7962944,1,2,2,2,4
4534,8.313852267398207,80,7.0,18.49872,36.272,0.8998676665196295,2.0557156,1,2,2,2,3
5797,7.003065458786462,55,11.0,6.3767,31.8835,0.18975332068311196,3.3605209,0,2,5,1,3
5632,4.605170185988092,80,8.0,0.0,45.056,0.0,3.1719424,1,2,2,1,3
6832,7.832014180505469,25,10.0,17.21664,17.08,0.36885245901639346,4.6676224,1,0,2,2,4
4199,4.605170185988092,45,9.0,0.0,18.8955,0.0,1.7631601,1,2,5,2,3
3528,6.802394763324311,45,11.0,3.1752,15.876,0.25510204081632654,1.2446784,0,2,2,2,3
4678,8.131530710604252,2,12.0,15.9052,0.9356,0.7268063274903805,2.1883684,0,2,2,1,4
4419,7.9157131993821155,35,10.0,12.10806,15.4665,0.6200497850192351,1.9527561,1,2,2,1,4
5116,8.070906088787819,7,14.0,16.3712,3.5812,0.6254886630179828,2.6173456,0,2,2,1,3
5117,7.8632667240095735,35,10.0,13.3042,17.9095,0.508110220832519,2.6183689,1,2,2,1,4
3468,7.05617528410041,80,6.0,4.02288,27.744,0.3344867358708189,1.2027024,1,2,4,1,4
6103,6.835184586147301,25,11.0,5.67579,15.2575,0.15238407340652138,3.7246609,0,0,5,1,4
7532,8.089482474360754,25,13.0,24.55432,18.83,0.43281996813595325,5.6731024,0,0,2,1,3
5218,7.9724660159745655,80,8.0,15.1322,41.744,0.5557684936757379,2.7227524,1,2,2,1,4
5380,7.346010209913293,65,6.0,8.339,34.97,0.28810408921933084,2.89444,1,2,2,2,4
6551,5.991464547107982,80,7.0,2.6204,52.408,0.06105938024729049,4.2915601,1,0,2,2,3
5574,7.824046010856292,15,11.0,13.935,8.361,0.4485109436670255,3.1069476,0,2,3,1,4
4366,5.768320995793772,45,9.0,1.39712,19.647,0.07329363261566652,1.9061956,1,2,2,2,4
1126,6.646390514847729,45,10.0,0.86702,5.067,0.6838365896980462,0.1267876,1,1,2,1,3
5946,7.807916628926408,15,10.0,14.62716,8.919,0.41372351160444,3.5354916,1,2,2,2,4
4479,5.135798437050262,55,6.0,0.76143,24.6345,0.037954900647465956,2.0061441,1,2,3,2,4
8382,7.003065458786462,80,7.0,9.2202,67.056,0.13123359580052493,7.0257924,1,0,2,3,3
4384,5.966146739123692,65,4.0,1.70976,28.496,0.08895985401459854,1.9219456,2,2,2,3,1
1176,8.242756345714477,25,10.0,4.4688,2.94,3.2312925170068025,0.1382976,1,1,2,2,4
5880,7.90100705199242,35,11.0,15.876,20.58,0.45918367346938777,3.45744,0,2,2,2,3
6075,7.177782416195197,45,5.0,7.95825,27.3375,0.21563786008230454,3.6905625,2,0,2,3,2
4485,5.886104031450156,65,10.0,1.6146,29.1525,0.0802675585284281,2.0115225,1,2,2,2,3
6040,5.634789603169249,80,9.0,1.6912,48.32,0.046357615894039736,3.64816,1,0,2,2,3
7222,6.152732694704104,55,10.0,3.39434,39.721,0.06507892550540016,5.2157284,1,0,3,2,3
4718,6.173786103901937,80,9.0,2.26464,37.744,0.10173802458668928,2.2259524,1,2,3,2,3
7174,7.5652752818989315,80,8.0,13.84582,57.392,0.26902704209645945,5.1466276,1,0,2,1,4
2576,7.313220387090301,35,9.0,3.864,9.016,0.5822981366459627,0.6635776,1,1,2,2,4
8445,6.946975992135418,35,10.0,8.7828,29.5575,0.123149792776791,7.1318025,1,0,2,1,4
3416,8.216088098632316,80,9.0,12.6392,27.328,1.0831381733021077,1.1669056,1,2,3,2,3
2044,7.313220387090301,35,9.0,3.066,7.154,0.7338551859099804,0.4177936,1,1,2,2,4
5367,7.600902459542082,55,10.0,10.734,29.5185,0.3726476616359232,2.8804689,1,2,2,2,3
4154,5.3471075307174685,35,9.0,0.87234,14.539,0.05055368319691863,1.7255716,1,2,2,2,3
4287,7.438383530044307,25,12.0,7.2879,10.7175,0.3965477023559599,1.8378369,0,2,3,2,3
4188,4.605170185988092,25,15.0,0.0,10.47,0.0,1.7539344,0,2,3,1,3
2429,7.438383530044307,55,8.0,4.1293,13.3595,0.699876492383697,0.5900041,1,1,2,2,4
6238,7.313220387090301,80,5.0,9.357,49.904,0.2404616864379609,3.8912644,2,0,2,3,3
6855,4.605170185988092,80,7.0,0.0,54.84,0.0,4.6991025,1,0,2,2,3
2616,8.116715624819111,15,10.0,8.7636,3.924,1.2805810397553516,0.6843456,1,1,2,2,4
6412,7.122866658599083,80,7.0,7.95088,51.296,0.1933873986275733,4.1113744,1,0,2,2,4
5905,7.114769448366463,80,8.0,7.26315,47.24,0.20829805249788316,3.4869025,1,2,2,1,4
6662,8.006367567650246,15,11.0,19.986,9.993,0.4503152206544581,4.4382244,0,0,2,1,4
3819,5.857933154483459,45,7.0,1.33665,17.1855,0.0916470280178057,1.4584761,1,2,4,3,3
6472,7.478734825567875,80,7.0,11.45544,51.776,0.2734857849196539,4.1886784,1,0,2,2,3
2651,7.495541943884256,80,7.0,4.7718,21.208,0.6789890607317993,0.7027801,1,1,2,3,3
5960,6.866933284461882,25,8.0,5.7216,14.9,0.1610738255033557,3.55216,1,2,1,3,3
7201,7.937374696163295,65,8.0,20.1628,46.8065,0.3888348840438828,5.1854401,1,0,2,2,4
6443,8.242756345714477,25,13.0,24.4834,16.1075,0.5897873661337886,4.1512249,0,0,2,1,3
3803,7.9724660159745655,35,13.0,11.0287,13.3105,0.7625558769392585,1.4462809,0,2,2,2,3
3458,7.600902459542082,2,11.0,6.916,0.6916,0.578368999421631,1.1957764,0,2,2,2,4
7056,4.605170185988092,25,10.0,0.0,17.64,0.0,4.9787136,1,0,2,2,4
3865,6.856461984594587,35,7.0,3.67175,13.5275,0.24579560155239327,1.4938225,1,2,2,2,4
1369,7.539027055823995,2,14.0,2.57372,0.2738,1.373265157048941,0.1874161,0,1,2,1,3
4278,7.3395376954076745,55,10.0,6.58812,23.529,0.3599812996727443,1.8301284,1,2,2,2,3
2174,6.492239835020471,15,10.0,1.43484,3.261,0.30358785648574055,0.4726276,1,1,2,2,4
3683,7.90100705199242,55,8.0,9.9441,20.2565,0.7330980179201738,1.3564489,1,2,2,2,4
2723,7.3777589082278725,15,10.0,4.3568,4.0845,0.5875872199779655,0.7414729,1,1,1,2,4
5508,7.7406644019172415,2,12.0,12.6684,1.1016,0.4175744371822803,3.0338064,0,2,2,1,4
5730,6.907755278982137,45,10.0,5.73,25.785,0.17452006980802792,3.28329,1,2,3,1,4
4364,7.170119543449628,80,7.0,5.6732,34.912,0.29789184234647115,1.9044496,1,2,2,3,3
4561,7.847762537473608,55,9.0,11.67616,25.0855,0.5612804209603157,2.0802721,1,2,2,1,4
1088,7.272398392570047,45,9.0,1.56672,4.896,1.3235294117647058,0.1183744,1,1,1,3,3
2910,7.549609165154532,15,12.0,5.529,4.365,0.6529209621993127,0.84681,0,1,3,2,3
3318,7.67786350067821,35,9.0,7.16688,11.613,0.650994575045208,1.1009124,1,2,2,2,4
1346,7.313220387090301,15,10.0,2.019,2.019,1.1144130757800892,0.1811716,1,1,3,2,4
1771,7.371489295214277,7,12.0,2.81589,1.2397,0.8977978543195935,0.3136441,0,1,2,1,4
4860,7.170119543449628,65,6.0,6.318,31.59,0.2674897119341564,2.36196,1,2,2,2,4
7359,6.684611727667927,25,10.0,5.8872,18.3975,0.1087104226117679,5.4154881,1,0,5,2,3
1129,6.620073206530356,55,6.0,0.84675,6.2095,0.6643046944198405,0.1274641,1,1,5,2,4
6844,7.937374696163295,65,8.0,19.1632,44.486,0.4091174751607247,4.6840336,1,0,2,2,3
2774,7.926602599181384,7,14.0,7.68398,1.9418,0.9985580389329488,0.7695076,0,1,2,1,3
2039,7.52294091807237,25,11.0,3.77215,5.0975,0.9073075036782736,0.4157521,0,1,2,1,4
6033,6.975413927455952,80,9.0,6.45531,48.264,0.17735786507541854,3.6397089,1,0,2,2,3
5268,7.31986492980897,15,8.0,7.95468,7.902,0.28663629460895973,2.7751824,1,2,2,3,3
6921,8.207946941048617,15,10.0,25.40007,10.3815,0.5302701921687617,4.7900241,1,0,2,2,4
5257,4.605170185988092,25,13.0,0.26285,13.1425,0.009511128019783146,2.7636049,0,2,2,1,4
5196,8.061486866871327,45,11.0,16.47132,23.382,0.6100846805234796,2.6998416,0,2,2,2,3
4335,7.090076835776092,65,8.0,5.202,28.1775,0.2768166089965398,1.8792225,1,2,2,2,4
4194,6.907755278982137,55,6.0,4.194,23.067,0.23843586075345732,1.7589636,1,2,4,2,4
7236,7.450079569807499,25,12.0,12.44592,18.09,0.2377003869541183,5.2359696,0,0,2,2,3
5043,6.966024187106113,80,9.0,5.34558,40.344,0.21019234582589727,2.5431849,1,2,2,2,3
2092,4.605170185988092,45,8.0,0.0,9.414,0.0,0.4376464,1,1,2,1,4
4507,7.696212639346407,25,10.0,9.9154,11.2675,0.48812957621477704,2.0313049,1,2,3,2,4
4228,8.160518247477505,80,7.0,14.798,33.824,0.8278145695364238,1.7875984,1,2,2,2,3
4549,6.877296071497429,35,9.0,4.41253,15.9215,0.21323367773136953,2.0693401,1,2,5,2,4
2487,6.709304340258298,65,6.0,2.03934,16.1655,0.32971451548049857,0.6185169,1,1,2,3,3
3461,7.090076835776092,15,13.0,4.1532,5.1915,0.34672060098237506,1.1978521,0,2,5,1,3
7873,4.605170185988092,15,12.0,0.0,11.8095,0.0,6.1984129,0,0,4,2,3
6876,8.286521373681236,7,12.0,27.29772,4.8132,0.5773705642815591,4.7279376,0,0,2,1,4
6399,7.438383530044307,80,7.0,10.8783,51.192,0.2656665103922488,4.0947201,1,0,2,2,4
6044,5.0106352940962555,45,12.0,0.9066,27.198,0.024818001323626736,3.6529936,0,0,2,1,3
4845,7.1853870155804165,80,7.0,6.3954,38.76,0.2724458204334365,2.3474025,1,2,2,2,4
4168,7.162397497355718,25,11.0,5.37672,10.42,0.30950095969289826,1.7372224,0,2,3,1,4
3881,7.090076835776092,45,11.0,4.6572,17.4645,0.3091986601391394,1.5062161,0,2,2,2,3
5937,7.965545573129992,80,5.0,17.09856,47.496,0.4850934815563416,3.5247969,2,2,2,3,2
6856,7.473069088032197,15,11.0,12.06656,10.284,0.25670945157526254,4.7004736,0,0,1,1,4
7134,7.495541943884256,80,9.0,12.8412,57.072,0.2523128679562658,5.0893956,1,0,2,2,3
2840,7.3777589082278725,55,10.0,4.544,15.62,0.5633802816901409,0.80656,1,1,2,2,3
2782,7.438383530044307,15,12.0,4.7294,4.173,0.6110711718188354,0.7739524,0,1,2,2,3
4756,4.605170185988092,55,10.0,0.0,26.158,0.0,2.2619536,1,2,2,2,3
5219,8.006367567650246,15,12.0,15.657,7.8285,0.5748227629814141,2.7237961,0,2,3,2,3
7992,8.268731832117737,15,11.0,31.1688,11.988,0.487987987987988,6.3872064,0,0,2,1,4
4186,7.029972911706386,15,7.0,4.73018,6.279,0.26994744386048736,1.7522596,1,2,4,1,1
5452,5.3471075307174685,45,10.0,1.14492,24.534,0.03851797505502568,2.9724304,1,2,1,1,3
3825,7.824046010856292,65,8.0,9.5625,24.8625,0.6535947712418301,1.4630625,1,2,2,3,4
1752,7.177782416195197,25,11.0,2.29512,4.38,0.747716894977169,0.3069504,0,1,2,1,4
1947,7.600902459542082,2,11.0,3.894,0.3894,1.027221366204417,0.3790809,0,1,2,2,4
5210,7.106606137727303,80,9.0,6.3562,41.68,0.23416506717850288,2.71441,1,2,2,2,3
6055,7.90100705199242,7,12.0,16.3485,4.2385,0.44591246903385634,3.6663025,0,0,2,1,4
2712,6.802394763324311,35,7.0,2.4408,9.492,0.33185840707964603,0.7354944,1,1,4,2,4
7052,4.605170185988092,80,7.0,0.0,56.416,0.0,4.9730704,1,0,2,2,3
4183,7.673223121121708,7,12.0,8.99345,2.9281,0.5139851781018407,1.7497489,0,2,2,1,4
4472,6.897704943128636,80,7.0,4.42728,35.776,0.22137745974955278,1.9998784,1,2,2,3,3
1174,7.495541943884256,80,7.0,2.1132,9.392,1.5332197614991483,0.1378276,1,1,2,3,3
7131,6.659293919683638,65,2.0,5.56218,46.3515,0.10938157341186369,5.0851161,2,0,2,3,1
4443,7.047517221357296,65,8.0,5.10945,28.8795,0.25883412108935405,1.9740249,1,2,2,2,4
4995,6.396929655216146,55,6.0,2.997,27.4725,0.12012012012012012,2.4950025,1,2,2,3,2
3767,6.956545443151569,55,11.0,3.95535,20.7185,0.2787363950092912,1.4190289,0,2,2,1,3
5467,7.170119543449628,35,11.0,7.1071,19.1345,0.23779037863544905,2.9888089,0,2,3,2,3
7049,7.455876687491824,55,12.0,12.19477,38.7695,0.24542488296212228,4.9688401,0,0,2,2,3
5858,8.157657015196472,65,8.0,20.44442,38.077,0.5957664731990441,3.4316164,1,2,2,2,4
4744,6.897704943128636,65,8.0,4.69656,30.836,0.20868465430016864,2.2505536,1,2,2,2,3
2859,6.975413927455952,55,10.0,3.05913,15.7245,0.37425673312346974,0.8173881,1,1,2,2,3
8075,7.003065458786462,45,11.0,8.8825,36.3375,0.13622291021671826,6.5205625,0,0,2,2,3
1401,7.649692623711514,35,9.0,2.9421,4.9035,1.4989293361884368,0.1962801,1,1,2,2,4
4811,7.3777589082278725,45,11.0,7.6976,21.6495,0.33257119102057786,2.3145721,0,2,3,2,3
5656,6.152732694704104,2,11.0,2.65832,1.1312,0.0830975954738331,3.1990336,0,2,5,3,3
3821,7.478734825567875,45,12.0,6.76317,17.1945,0.4632295210677833,1.4600041,0,2,2,1,3
1097,5.247024072160486,65,8.0,0.20843,7.1305,0.1731996353691887,0.1203409,1,1,3,3,3
3327,8.083328608786376,25,11.0,10.77948,8.3175,0.9738503155996393,1.1068929,0,2,2,1,4
7060,5.634789603169249,80,6.0,1.9768,56.48,0.039660056657223795,4.98436,1,0,5,1,4
4543,6.802394763324311,35,9.0,4.0887,15.9005,0.1981069777679947,2.0638849,1,2,3,2,4
6124,8.110727582974489,25,8.0,20.39292,15.31,0.5437622468974527,3.7503376,1,0,3,2,4
7056,4.605170185988092,45,10.0,0.0,31.752,0.0,4.9787136,1,0,2,1,4
4500,6.016157159698354,80,1.0,1.845,36.0,0.09111111111111111,2.025,2,2,2,3,1
5173,8.268731832117737,7,11.0,20.1747,3.6211,0.7539145563502803,2.6759929,0,2,3,2,4
5166,7.930206206684683,15,9.0,14.36148,7.749,0.538133952768099,2.6687556,1,2,2,1,4
5092,4.605170185988092,55,9.0,0.0,28.006,0.0,2.5928464,1,2,2,1,4
6128,5.247024072160486,80,0.0,1.16432,49.024,0.03100522193211488,3.7552384,2,0,4,4,1
3699,5.799092654460526,80,5.0,1.22067,29.592,0.08921330089213302,1.3682601,2,2,2,2,4
3825,7.365180126021013,65,9.0,6.0435,24.8625,0.4130718954248366,1.4630625,1,2,2,1,4
5880,5.075173815233827,45,7.0,0.9408,26.46,0.027210884353741496,3.45744,1,2,2,2,4
5479,4.605170185988092,35,12.0,0.0,19.1765,0.0,3.0019441,0,2,3,1,3
2069,4.605170185988092,80,1.0,0.0,16.552,0.0,0.4280761,2,1,2,3,1
7645,7.5443321080536885,25,10.0,14.44905,19.1125,0.2472204054937868,5.8446025,1,0,2,2,4
4760,8.009695357742922,15,11.0,14.3276,7.14,0.6323529411764706,2.26576,0,2,2,1,4
4419,7.200424892944957,65,8.0,5.92146,28.7235,0.30323602625028284,1.9527561,1,2,2,2,2
1031,6.620073206530356,25,8.0,0.77325,2.5775,0.7274490785645005,0.1062961,1,1,3,2,4
4965,7.7406644019172415,25,13.0,11.4195,12.4125,0.46324269889224573,2.4651225,0,2,2,1,3
7415,7.170119543449628,55,6.0,9.6395,40.7825,0.17532029669588672,5.4982225,1,0,2,3,3
5107,5.857933154483459,80,3.0,1.78745,40.856,0.06853338554924614,2.6081449,2,2,5,3,2
4338,8.006367567650246,65,11.0,13.014,28.197,0.6915629322268326,1.8818244,0,2,2,1,3
3199,8.04237800517328,35,9.0,9.94889,11.1965,0.9721788058768365,1.0233601,1,2,2,2,4
5734,4.605170185988092,55,10.0,0.34404,31.537,0.010463899546564353,3.2878756,1,2,2,2,3
5989,7.251344983372214,25,11.0,8.44449,14.9725,0.23543162464518283,3.5868121,0,2,2,1,4
4727,4.605170185988092,45,8.0,0.0,21.2715,0.0,2.2344529,1,2,5,1,4
3318,7.549609165154532,2,12.0,6.3042,0.6636,0.5726341169379144,1.1009124,0,2,3,1,4
1127,7.2078598714324755,35,7.0,1.52145,3.9445,1.1978704525288377,0.1270129,1,1,3,2,2
5321,5.598421958998375,35,11.0,1.43667,18.6235,0.05074234166510055,2.8313041,0,2,2,2,3
6122,8.1886891244442,25,11.0,22.0392,15.305,0.5880431231623653,3.7478884,0,0,2,1,4
7417,7.893572073504902,65,8.0,19.87756,48.2105,0.361332074962923,5.5011889,1,0,2,2,4
4259,7.753623546559746,55,10.0,9.92347,23.4245,0.5470767785865227,1.8139081,1,2,3,2,3
2060,6.802394763324311,80,5.0,1.854,16.48,0.4368932038834951,0.42436,2,1,3,2,2
4785,4.605170185988092,2,12.0,0.0,0.957,0.0,2.2896225,0,2,2,1,4
2333,4.605170185988092,80,7.0,0.0,18.664,0.0,0.5442889,1,1,2,2,4
4170,7.313220387090301,7,9.0,6.255,2.919,0.3597122302158273,1.73889,1,2,3,3,2
4746,6.551080335043404,45,9.0,3.3222,21.357,0.14749262536873156,2.2524516,1,2,3,2,2
5520,7.258412150595307,80,9.0,7.8384,44.16,0.2572463768115942,3.04704,1,2,5,2,3
5666,8.207946941048617,35,5.0,20.79422,19.831,0.6477232615601836,3.2103556,2,2,3,3,1
4716,7.835974581721566,35,11.0,11.93148,16.506,0.5364715860899067,2.2240656,0,2,2,2,3
7398,7.3901814282264295,25,10.0,11.98476,18.495,0.21897810218978103,5.4730404,1,0,2,2,4
8426,5.0106352940962555,55,8.0,1.2639,46.343,0.01780204130073582,7.0997476,1,0,2,2,3
8552,7.7406644019172415,45,10.0,19.6696,38.484,0.26894293732460245,7.3136704,1,0,2,1,4
7209,7.600902459542082,45,10.0,14.418,32.4405,0.27743098904147595,5.1969681,1,0,2,1,4
3247,7.3777589082278725,80,1.0,5.1952,25.976,0.4927625500461965,1.0543009,2,2,2,3,1
2859,7.828038032125829,7,13.0,7.17609,2.0013,0.8779293459251487,0.8173881,0,1,2,2,3
2999,6.565264970035361,45,5.0,2.12929,13.4955,0.2367455818606202,0.8994001,2,1,4,3,2
7924,6.975413927455952,25,12.0,8.47868,19.81,0.13503281171125694,6.2789776,0,0,2,2,3
4190,5.703782474656201,7,7.0,1.257,2.933,0.07159904534606205,1.75561,1,2,5,3,2
1285,7.495541943884256,7,14.0,2.313,0.8995,1.4007782101167314,0.1651225,0,1,2,1,4
4399,4.605170185988092,80,1.0,0.0,35.192,0.0,1.9351201,2,2,3,3,1
7999,7.408530566894626,45,11.0,13.19835,35.9955,0.20627578447305914,6.3984001,0,0,1,2,3
4763,7.824046010856292,2,12.0,11.9075,0.9526,0.5248792777661138,2.2686169,0,2,3,1,4
4741,7.396335293800808,35,7.0,7.72783,16.5935,0.34380932292765237,2.2477081,1,2,3,3,3
6047,8.125630988477065,25,13.0,20.43886,15.1175,0.5589548536464363,3.6566209,0,0,2,1,3
8726,4.605170185988092,65,10.0,0.0,56.719,0.0,7.6143076,1,0,2,2,3
5558,4.605170185988092,80,9.0,0.0,44.464,0.0,3.0891364,1,2,2,2,3
5659,7.783224016336037,35,11.0,13.5816,19.8065,0.4241031984449549,3.2024281,0,2,2,2,3
5162,7.455876687491824,15,12.0,8.93026,7.743,0.33514141805501746,2.6646244,0,2,2,2,3
5322,8.070906088787819,80,3.0,17.0304,42.576,0.6012777151446824,2.8323684,2,2,2,3,2
4584,6.697034247666484,45,11.0,3.71304,20.628,0.17670157068062828,2.1013056,0,2,3,2,3
7327,7.3777589082278725,80,5.0,11.7232,58.616,0.21837041080933534,5.3684929,2,0,2,2,4
4241,7.346010209913293,80,7.0,6.57355,33.928,0.36547983966045744,1.7986081,1,2,2,2,3
1030,7.7406644019172415,25,8.0,2.369,2.575,2.233009708737864,0.10609,1,1,2,2,4
8437,7.3777589082278725,65,8.0,13.4992,54.8405,0.1896408676069693,7.1182969,1,0,2,2,3
5419,7.731930721948486,45,9.0,12.35532,24.3855,0.42074183428676876,2.9365561,1,2,2,2,3
3804,7.3777589082278725,2,11.0,6.0864,0.7608,0.4206098843322818,1.4470416,0,2,3,2,2
4272,6.835184586147301,80,3.0,3.97296,34.176,0.21769662921348315,1.8249984,2,2,2,3,4
3410,7.4673710669175595,25,10.0,5.9675,8.525,0.5131964809384164,1.16281,1,2,2,2,4
4368,7.912056888179006,15,12.0,11.92464,6.552,0.625,1.9079424,0,2,2,2,3
4197,4.605170185988092,25,10.0,0.0,10.4925,0.0,1.7614809,1,2,2,2,3
4482,6.877296071497429,15,10.0,4.34754,6.723,0.21642124051762607,2.0088324,1,2,3,2,4
6025,8.131530710604252,15,11.0,20.485,9.0375,0.5643153526970954,3.6300625,0,0,2,1,4
5540,6.856461984594587,80,8.0,5.263,44.32,0.17148014440433212,3.06916,1,2,5,1,4
3819,8.316300249036848,80,7.0,15.61971,30.552,1.0709609845509296,1.4584761,1,2,2,2,3
4984,8.055157731819678,15,13.0,15.6996,7.476,0.6320224719101124,2.4840256,0,2,2,1,3
8044,7.090076835776092,7,13.0,9.6528,5.6308,0.14917951268025859,6.4705936,0,0,3,2,3
7350,7.7406644019172415,55,8.0,16.905,40.425,0.3129251700680272,5.40225,1,0,2,2,4
1132,4.605170185988092,55,5.0,0.0,6.226,0.0,0.1281424,2,1,2,4,4
6201,6.802394763324311,80,7.0,5.5809,49.608,0.14513788098693758,3.8452401,1,0,2,2,3
6408,6.476972362889683,15,9.0,4.1652,9.612,0.10143570536828964,4.1062464,1,0,5,1,2
4289,6.579251212010101,2,12.0,3.08808,0.8578,0.16787129867101888,1.8395521,0,2,5,1,3
6225,7.438383530044307,45,9.0,10.5825,28.0125,0.27309236947791166,3.8750625,1,0,2,2,4
6237,8.226840890408578,2,12.0,23.32638,1.2474,0.599647266313933,3.8900169,0,0,2,1,4
2157,7.824046010856292,15,10.0,5.3925,3.2355,1.1590171534538711,0.4652649,1,1,2,2,4
6331,8.242756345714477,15,11.0,24.0578,9.4965,0.6002211341020376,4.0081561,0,0,3,1,4
4282,7.575584651557793,15,12.0,8.3499,6.423,0.45539467538533396,1.8335524,0,2,3,2,3
6156,6.551080335043404,35,9.0,4.3092,21.546,0.11371020142949967,3.7896336,1,0,5,2,3
6023,7.937374696163295,25,10.0,16.8644,15.0575,0.46488460899883777,3.6276529,1,0,2,2,4
3827,7.9724660159745655,25,10.0,11.0983,9.5675,0.7577737130911941,1.4645929,1,2,2,2,4
6413,6.907755278982137,80,3.0,6.413,51.304,0.1559332605644784,4.1126569,2,0,2,3,1
5499,4.605170185988092,35,7.0,0.0,19.2465,0.0,3.0239001,1,2,5,2,4
7408,7.24422751560335,45,11.0,10.3712,33.336,0.18898488120950324,5.4878464,0,0,2,2,3
5928,4.605170185988092,80,5.0,0.0,47.424,0.0,3.5141184,2,2,4,3,3
4288,6.173786103901937,80,9.0,2.05824,34.304,0.11194029850746269,1.8386944,1,2,2,2,3
4800,7.455876687491824,35,10.0,8.304,16.8,0.36041666666666666,2.304,1,2,2,1,4
5601,6.194405391104672,45,9.0,2.74449,25.2045,0.08748437778968042,3.1371201,1,2,2,2,4
4108,7.7706452341291765,65,10.0,9.73596,26.702,0.5769230769230769,1.6875664,1,2,2,2,3
1773,7.090076835776092,15,11.0,2.1276,2.6595,0.676818950930626,0.3143529,0,1,4,1,4
2498,7.090076835776092,25,10.0,2.9976,6.245,0.4803843074459568,0.6240004,1,1,2,2,4
8093,7.843848638152472,65,7.0,20.63715,52.6045,0.31508711231928827,6.5496649,1,0,2,1,4
1540,6.887552571664617,80,3.0,1.5092,12.32,0.6363636363636364,0.23716,2,1,2,3,2
5539,6.907755278982137,45,11.0,5.539,24.9255,0.18053800324968405,3.0680521,0,2,5,2,3
5067,5.940171252720432,45,9.0,1.92546,22.8015,0.07499506611407145,2.5674489,1,2,3,2,3
4530,7.081708586105575,15,10.0,5.3907,6.795,0.26269315673289184,2.05209,1,2,3,2,4
